Gravedad_Indicador_Tradicional,Dia_Semana_Acc,Localidad,Clase_Acc,Elemento_Choque,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi
Con Heridos,miércoles,CHAPINERO,Volcamiento,,,,,,,,,SI,,,,,,,,,,,,,,
Con Heridos,jueves,ANTONIO NARIÑO,Atropello,,,,,,,,SI,,,,,,,,,,,,,,SI,
Solo Daños,viernes,USAQUÉN,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,SI,
Con Heridos,jueves,ENGATIVÁ,Choque,Vehículo,,,,,,SI,SI,,,,,,,,,,,,,,,
Solo Daños,miércoles,PUENTE ARANDA,Choque,Vehículo,,SI,,,,,,,,,SI,,,,,,,,,,,
Con Heridos,miércoles,USAQUÉN,Choque,Objeto Fijo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,martes,LOS MÁRTIRES,Choque,Vehículo,,,,,,,,SI,,,,,,,,,,,,,,
Solo Daños,martes,FONTIBÓN,Choque,Objeto Fijo,,SI,,,,,,SI,,,,,,,,,,,,,,
Solo Daños,miércoles,KENNEDY,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,SI,
Solo Daños,sábado,SUBA,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,,
Con Heridos,jueves,CIUDAD BOLÍVAR,Atropello,,,,,,SI,SI,SI,,,,,,,,,,,,,,,
Solo Daños,martes,FONTIBÓN,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Solo Daños,sábado,USAQUÉN,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,martes,SUBA,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,jueves,RAFAEL URIBE URIBE,Choque,Vehículo,,,,,,,,SI,,,,,,,,,,,,,,
Solo Daños,lunes,CIUDAD BOLÍVAR,Choque,Vehículo,,,,,,,,SI,,,,,,,,,,,,,,
Solo Daños,sábado,ENGATIVÁ,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,,
Con Heridos,jueves,KENNEDY,Atropello,,,,,,,,SI,SI,,,SI,,,,,,,,,,,
Solo Daños,miércoles,ANTONIO NARIÑO,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,jueves,KENNEDY,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,martes,KENNEDY,Choque,Vehículo,,,,,,SI,,SI,,,SI,,SI,,,SI,,,,,,
Solo Daños,viernes,ENGATIVÁ,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,viernes,KENNEDY,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,SI,,,,,,
Con Heridos,sábado,TEUSAQUILLO,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,lunes,TUNJUELITO,Choque,Vehículo,SI,,,,,,,,,,SI,,SI,,SI,,,,,,,
Solo Daños,lunes,SUBA,Choque,Objeto Fijo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,sábado,BOSA,Choque,Vehículo,,,,,,,,,,,SI,,SI,,SI,,,,,,,
Con Heridos,miércoles,BARRIOS UNIDOS,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Con Heridos,martes,FONTIBÓN,Volcamiento,,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,jueves,ENGATIVÁ,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Con Heridos,martes,TUNJUELITO,Caida de ocupante,,,,,,SI,,,,,,SI,,SI,,,SI,,,,,,
Solo Daños,domingo,BARRIOS UNIDOS,Choque,Objeto Fijo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,martes,SAN CRISTÓBAL,Choque,Vehículo,,,,,,SI,,,,SI,,,,,,,,,,,,SI
Con Heridos,lunes,FONTIBÓN,Choque,Vehículo,,,,,,SI,,,,SI,,,,,,,,,,,,SI
Con Heridos,sábado,TEUSAQUILLO,Choque,Vehículo,SI,,,,,,,,,,,,,,,,,,,,,
Solo Daños,miércoles,TEUSAQUILLO,Choque,Vehículo,,SI,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,viernes,SUBA,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Con Heridos,lunes,USME,Atropello,,,,,,,,SI,SI,,SI,,,,,,,,,,,,SI
Con Heridos,lunes,KENNEDY,Atropello,,,,,,,SI,SI,SI,,,,,,,,,,,,,,
Con Heridos,lunes,USAQUÉN,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,miércoles,USAQUÉN,Choque,Vehículo,,,,,,,,SI,,,,,,,,,,,,,,
Con Heridos,lunes,SUBA,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,sábado,ENGATIVÁ,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,martes,SUBA,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,sábado,CHAPINERO,Atropello,,,,,,,,SI,,,,,,,,,,,,,,,
